Type,Subtype,Country,Name,Alcohol_Content,Price,Sweetness
SPIRITS,COFFEE,MEXICO,KAMORA - COFFEE,20,18.1,0
SPIRITS,APRICOT,NETHERLANDS,APRICOT BRANDY - BOLS,24,18.29,NA
SPIRITS,CANADIAN RYE WHISKY,CANADA,CANADIAN CLUB - PREMIUM,40,12.95,NA
SPIRITS,AMBER,CANADA,CAPTAIN MORGAN - SPICED,35,14.99,NA
SPIRITS,SPIRIT - GIFT PACKS,SWEDEN,ABSOLUT 5 FLAVOUR GIFT PACK,40,17.92,NA
SPIRITS,CHERRY,CANADA,MCGUINNESS - CHERRY WHISKY,15,19.99,NA
SPIRITS,COGNAC,FRANCE,HENNESSY - V.S. FLASK,40,19.95,NA
SPIRITS,SPIRIT - GIFT PACKS,CANADA,CROWN ROYAL GIFT TIN/WITH 2 SHOT GLASSES,40,19.99,NA
SPIRITS,CANADIAN RYE WHISKY,CANADA,SPICEBOX - GINGERBREAD SPICED,35,14.99,NA
SPIRITS,COFFEE,MEXICO,KAHLUA - PEPPERMINT MOCHA COFFEE,20,16.49,NA
SPIRITS,BRANDY,FRANCE,ST. REMY - V.S.O.P.,40,11.99,NA
SPIRITS,COCONUT,CANADA,MALIBU - COCONUT,21,11.95,NA
SPIRITS,MELON,NETHERLANDS,MELON - BOLS,17,19.99,0
SPIRITS,READY TO SERVE COCKTAILS,UNITED STATES OF AMERICA,SMIRNOFF - VODKA MOJITO,15,18.4,NA
SPIRITS,REGULAR VODKA,CANADA,ALBERTA PURE,40,11.87,NA
SPIRITS,COGNAC,FRANCE,REMY MARTIN - X.O. FINE CHAMPAGNE EXCELLENCE,40,19.95,NA
SPIRITS,ASIAN SPIRITS,CHINA,RED STAR ER GUO TOU,56,16.99,0
SPIRITS,ALMOND,ITALY,AMARETTO - DISARONNO ORIGINALE,28,15.49,NA
SPIRITS,CANADIAN RYE WHISKY,CANADA,WISERS - SPECIAL BLEND,40,11.87,NA
SPIRITS,COCONUT,FRANCE,ALIZE - COCO,20,14.99,NA
SPIRITS,OTHER,CANADA,MCGUINNESS - GLAZED DONUT,17,17.99,1
SPIRITS,APRICOT,CANADA,APRICOT BRANDY - MCGUINNESS,17,10.49,NA
SPIRITS,TEQUILA,MEXICO,EL JIMADOR - REPOSADO,40,16.99,NA
SPIRITS,READY TO SERVE COCKTAILS,UNITED STATES OF AMERICA,EVAN WILLIAMS - PEPPERMINT CHOCOLATE EGG NOG,15,19.99,NA
SPIRITS,REGULAR VODKA,UNITED STATES OF AMERICA,360 - GEORGIA PEACH,35,15.99,NA
SPIRITS,COFFEE,MEXICO,KAHLUA - GINGERBREAD LIMITED EDITION,20,16.49,NA
SPIRITS,BANANA,NETHERLANDS,CREME DE BANANES - BOLS,17,17.99,0
SPIRITS,WHISKY,UNITED STATES OF AMERICA,SOUTHERN COMFORT - FIERY PEPPER,35,17.99,NA
SPIRITS,REGULAR VODKA,SWEDEN,ABSOLUT,40,13.24,NA
SPIRITS,ANISE / LICORICE,TURKEY,YENI RAKI - MEY,45,19.9,NA
SPIRITS,WHISKY,UNITED STATES OF AMERICA,SOUTHERN COMFORT,35,13.99,NA
